id,name,description,address,latitude,longitude,city_id,opening_hours,rating,user_rating,types,phone_number,createdAt,updatedAt
20,Bintang Pradana Jogja Tour,-,"Jl. Pogung Rejo SIA XVI No.A-08, Pogung Kidul, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284, Indonesia",-7.7593783,110.3716453,18,Monday: Open 24 hours|Tuesday: Open 24 hours|Wednesday: Open 24 hours|Thursday: Open 24 hours|Friday: Open 24 hours|Saturday: Open 24 hours|Sunday: Open 24 hours,4,1,tourist_attraction|point_of_interest|establishment,0812-2553-7361,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
21,Outbound Bogor,-,"Jl. Lawang Gintung No.2, RT.01/RW.05, Lawanggintung, Kec. Bogor Sel., Kota Bogor, Jawa Barat 16134, Indonesia",-6.6237627,106.8128939,8,Monday: 8:00?AM?–?4:00?PM|Tuesday: 8:00?AM?–?4:00?PM|Wednesday: 8:00?AM?–?4:00?PM|Thursday: 8:00?AM?–?4:00?PM|Friday: 8:00?AM?–?4:00?PM|Saturday: 8:00?AM?–?1:00?PM|Sunday: Closed,4.5,51,tourist_attraction|point_of_interest|establishment,0877-7005-0002,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
22,Sendang Belik Sigendel,-,"82GM+MH3, Banjaran, Loano, Kec. Loano, Kabupaten Purworejo, Jawa Tengah, Indonesia",-7.6733749,110.0339351,31,Monday: Open 24 hours|Tuesday: Open 24 hours|Wednesday: Open 24 hours|Thursday: Open 24 hours|Friday: Open 24 hours|Saturday: Open 24 hours|Sunday: Open 24 hours,5,1,tourist_attraction|point_of_interest|establishment,-,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
23,Menara Pandang Teratai,-,"Jl. Bung Karno, Kalibener, Kedungwuluh, Kec. Purwokerto Tim., Kabupaten Banyumas, Jawa Tengah, Indonesia",-7.431525499999999,109.2325481,13,-,4.6,4257,tourist_attraction|point_of_interest|establishment,-,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
24,Sekretariat Sementara Museum Pendidikan Dan Mainan Kolong Tangga,This museum features a wide selection of educational toys & board games from throughout history.,"Jl. Tirtodipuran No.26, Mantrijeron, Kec. Mantrijeron, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55143, Indonesia",-7.818723500000001,110.3647195,5,Monday: 9:00?AM?–?4:00?PM|Tuesday: 9:00?AM?–?4:00?PM|Wednesday: 9:00?AM?–?4:00?PM|Thursday: 9:00?AM?–?4:00?PM|Friday: 9:00?AM?–?4:00?PM|Saturday: 9:00?AM?–?4:00?PM|Sunday: Closed,4.3,60,tourist_attraction|museum|point_of_interest|establishment,0811-2633-977,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
25,Pantai Krematorium,-,"4MVG+62R, Kandang Panjang, Pekalongan Utara, Pekalongan City, Central Java 51149, Indonesia",-6.856876399999999,109.6750012,14,Monday: 5:00?AM?–?6:00?PM|Tuesday: 5:00?AM?–?6:00?PM|Wednesday: 5:00?AM?–?6:00?PM|Thursday: 5:00?AM?–?6:00?PM|Friday: 5:00?AM?–?6:00?PM|Saturday: 5:00?AM?–?6:00?PM|Sunday: 5:00?AM?–?6:00?PM,4.2,42,tourist_attraction|point_of_interest|establishment,-,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
26,Serang RIVER VIEW,-,"5598+G76, Serang, Sendangsari, Kec. Pengasih, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55652, Indonesia",-7.8312021,110.165643,19,-,4.5,40,tourist_attraction|point_of_interest|establishment,-,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
27,Sumber Air Sodong,-,"XCG9+2QV, Pudak, Giriwungu, Kec. Panggang, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55872, Indonesia",-8.024880399999999,110.4194366,20,-,5,1,tourist_attraction|point_of_interest|establishment,-,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
28,Rumah Noel Jogja,-,"793W+9HF, Jl. Sengkan, Ngabean Wetan, Sinduharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581, Indonesia",-7.7465599,110.3964192,18,-,5,2,tourist_attraction|point_of_interest|establishment,-,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
29,Indonesian Museum of Ethnobotany,Contemporary space for themed exhibits & educational workshops about natural history & culture.,"Pusat Penelitian Biologi – LIPI, Jl. Ir. H. Juanda No.22 - 24, RT.02/RW.08, Paledang, Kecamatan Bogor Tengah, Kota Bogor, Jawa Barat 16122, Indonesia",-6.5991207,106.7939635,8,Monday: 8:00?AM?–?4:00?PM|Tuesday: 8:00?AM?–?4:00?PM|Wednesday: 8:00?AM?–?4:00?PM|Thursday: 8:00?AM?–?4:00?PM|Friday: 8:00?AM?–?4:00?PM|Saturday: 8:00?AM?–?4:00?PM|Sunday: 8:00?AM?–?4:00?PM,4.6,1265,museum|tourist_attraction|point_of_interest|establishment,0856-1790-513,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
30,Embung Sendangtirto,-,"Tampungan, Sendangtirto, Kec. Berbah, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55573, Indonesia",-7.807137200000001,110.4323893,5,Monday: Open 24 hours|Tuesday: Open 24 hours|Wednesday: Open 24 hours|Thursday: Open 24 hours|Friday: Open 24 hours|Saturday: Open 24 hours|Sunday: Open 24 hours,4.5,534,tourist_attraction|park|point_of_interest|establishment,-,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
31,Penyeberangan jalur cepat ke kota,-,"8X7W+24, Sawah, Kutawaru, Cilacap Tengah, Cilacap Regency, Central Java, Indonesia",-7.687444500000001,108.9952799,11,-,4,1,tourist_attraction|point_of_interest|establishment,-,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
32,Curug kanyere,-,"Bojong Koneng, Babakan Madang, Bogor Regency, West Java 16810, Indonesia",-6.620122599999999,106.9097177,8,Monday: 7:30?AM?–?5:00?PM|Tuesday: 7:30?AM?–?5:00?PM|Wednesday: 7:30?AM?–?5:00?PM|Thursday: 7:30?AM?–?5:00?PM|Friday: 7:30?AM?–?5:00?PM|Saturday: 7:30?AM?–?6:00?PM|Sunday: 7:30?AM?–?6:00?PM,4.4,77,tourist_attraction|point_of_interest|establishment,-,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
33,Wisata gathak temuguruh,-,"Jl. Sultan Agung Jl. Temuguruh No.10, Dusun Tojo Lor, Temuguruh, Kec. Sempu, Kabupaten Banyuwangi, Jawa Timur 68468, Indonesia",-8.3157317,114.19915,15,Monday: Closed|Tuesday: Closed|Wednesday: Closed|Thursday: Closed|Friday: Closed|Saturday: 9:00?AM?–?5:00?PM|Sunday: 9:00?AM?–?5:00?PM,3.9,9,tourist_attraction|point_of_interest|establishment,-,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
34,Goa Sodong,-,"XCG9+2QV, Pudak, Giriwungu, Kec. Panggang, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55872, Indonesia",-8.0246794,110.4187963,20,-,5,1,tourist_attraction|point_of_interest|establishment,-,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
35,Museum Sandi,"House museum with a collection of coding machines, ciphers & other objects related to encryption.","Jl. Faridan M Noto No.21, Kotabaru, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55224, Indonesia",-7.784554900000001,110.3711548,5,Monday: Closed|Tuesday: 9:00?AM?–?3:00?PM|Wednesday: 9:00?AM?–?3:00?PM|Thursday: 9:00?AM?–?3:00?PM|Friday: 9:00?AM?–?9:00?PM|Saturday: 9:00?AM?–?3:00?PM|Sunday: 9:00?AM?–?3:00?PM,4.7,1517,museum|tourist_attraction|point_of_interest|establishment,0811-1065-2040,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
36,Devoyage Bogor,"European-village-themed amusement park featuring food, rides & locations to take selfies.","Jl. Bogor Nirwana Residence Jl. Indigo Raya, Mulyaharja, Kec. Bogor Sel., Kota Bogor, Jawa Barat 16135, Indonesia",-6.6370888,106.7953617,8,Monday: 9:00?AM?–?6:00?PM|Tuesday: 9:00?AM?–?6:00?PM|Wednesday: 9:00?AM?–?6:00?PM|Thursday: 9:00?AM?–?6:00?PM|Friday: 9:00?AM?–?6:00?PM|Saturday: 9:00?AM?–?6:00?PM|Sunday: 9:00?AM?–?6:00?PM,4.1,15852,tourist_attraction|park|point_of_interest|establishment,0878-2019-3911,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
37,Sendang Sumber Dharmo,-,"Lingkungan Lalangan, Jl. Rejosari, RT.001/RW.002, Dusun Watu Ulo, Rejosari, Kec. Glagah, Kabupaten Banyuwangi, Jawa Timur, Indonesia",-8.223004599999998,114.3353877,15,Monday: Open 24 hours|Tuesday: Open 24 hours|Wednesday: Open 24 hours|Thursday: Open 24 hours|Friday: Open 24 hours|Saturday: Open 24 hours|Sunday: Open 24 hours,4.6,5,tourist_attraction|point_of_interest|establishment,0813-4283-6299,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
38,Hasri Ainun Habibie's Family Park,-,"Jl. Pemuda No.2, Wonosobo Timur, Wonosobo Tim., Kec. Wonosobo, Kabupaten Wonosobo, Jawa Tengah 56311, Indonesia",-7.359071499999999,109.9013639,29,Monday: Open 24 hours|Tuesday: Open 24 hours|Wednesday: Open 24 hours|Thursday: Open 24 hours|Friday: Open 24 hours|Saturday: Open 24 hours|Sunday: Open 24 hours,4.2,68,park|tourist_attraction|point_of_interest|establishment,-,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
39,Bheqcot Adventure,-,"ll, Jl. Bintaro Permai, Bintaro, Kec. Pesanggrahan, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Indonesia",-6.2610443,106.7636853,9,-,5,1,tourist_attraction|point_of_interest|establishment,-,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
40,Bank Sayur Kita,-,"jl. wana wisata rowo bayu songgon, Q5WJ+4R7, Jl. Tanah Lost, Bayurejo, Bayu, Kec. Songgon, Kabupaten Banyuwangi, Jawa Timur 68463, Indonesia",-8.204709099999999,114.1820491,15,Monday: 7:30?AM?–?4:00?PM|Tuesday: 7:30?AM?–?4:00?PM|Wednesday: 7:30?AM?–?4:00?PM|Thursday: 7:30?AM?–?4:00?PM|Friday: 7:30?AM?–?4:00?PM|Saturday: 7:30?AM?–?4:00?PM|Sunday: 7:30?AM?–?4:00?PM,4.2,17,tourist_attraction|point_of_interest|establishment,0852-5998-5868,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
41,Gua Pindul,-,"Unnamed Road, 3JGR+3FP, Karang Lor, Bejiharjo, Karangmojo, Gunung Kidul Regency, Special Region of Yogyakarta 55891, Indonesia",-7.924775600000001,110.6411903,20,-,4.7,139,tourist_attraction|point_of_interest|establishment,-,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
42,Museum Rekor Dunia - Indonesia,"Museum dedicated to Indonesian world achievements, records & cultural information.","Jl. Perintis Kemerdekaan No.275, Srondol Kulon, Kec. Banyumanik, Kota Semarang, Jawa Tengah 50263, Indonesia",-7.069103300000001,110.4112227,4,Monday: 9:00?AM?–?3:00?PM|Tuesday: 9:00?AM?–?3:00?PM|Wednesday: 9:00?AM?–?3:00?PM|Thursday: 9:00?AM?–?3:00?PM|Friday: 9:00?AM?–?3:00?PM|Saturday: Closed|Sunday: Closed,4.5,673,museum|tourist_attraction|point_of_interest|establishment,(024) 7475172,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
43,PUNCAK IGIR LEMPUYANG,-,"FGQF+86Q, Dukuh karang kobar, RT.008/RW.005, Area Hutan/Perkebunan, Jalatunda, Kec. Purwanegara, Kab. Banjarnegara, Jawa Tengah, Indonesia",-7.5116716,109.523102,28,Monday: 6:30?AM?–?5:00?AM|Tuesday: 6:30?AM?–?5:00?AM|Wednesday: 6:30?AM?–?5:00?AM|Thursday: 6:30?AM?–?5:00?AM|Friday: 6:30?AM?–?5:00?AM|Saturday: 6:30?AM?–?5:00?AM|Sunday: 6:30?AM?–?5:00?AM,5,1,tourist_attraction|point_of_interest|establishment,-,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
44,Sanggar ukm seni amukthi wijaya,-,"PP97+53P, Dukuh Kupang, Dukuhpakis, Surabaya, East Java 60225, Indonesia",-7.2820499,112.7127099,2,Monday: Open 24 hours|Tuesday: Open 24 hours|Wednesday: Open 24 hours|Thursday: Open 24 hours|Friday: Open 24 hours|Saturday: Open 24 hours|Sunday: Closed,5,1,tourist_attraction|point_of_interest|establishment,0812-5916-2426,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
45,Pemandian Batu Hitam,-,"Pakis Pakis, Pakis, Songgon, Kec. Songgon, Kabupaten Banyuwangi, Jawa Timur 68463, Indonesia",-8.240108599999997,114.2126883,15,Monday: 8:00?AM?–?5:00?PM|Tuesday: 8:00?AM?–?5:00?PM|Wednesday: 8:00?AM?–?5:00?PM|Thursday: 8:00?AM?–?5:00?PM|Friday: 8:00?AM?–?5:00?PM|Saturday: 8:00?AM?–?5:00?PM|Sunday: 8:00?AM?–?5:00?PM,3.9,75,tourist_attraction|point_of_interest|establishment,0878-6154-4618,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
46,Embung UII,-,"8C75+HHR, Krawitan, Umbulmartani, Kec. Ngemplak, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55584, Indonesia",-7.686021399999998,110.4088992,18,Monday: Open 24 hours|Tuesday: Open 24 hours|Wednesday: Open 24 hours|Thursday: Open 24 hours|Friday: Open 24 hours|Saturday: Open 24 hours|Sunday: Open 24 hours,4.5,126,tourist_attraction|point_of_interest|establishment,-,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
47,sumber air kanjeng pengobatan,-,"P8JG+G3C, Dusun Krajan, Kedayunan, Kec. Kabat, Kabupaten Banyuwangi, Jawa Timur 68461, Indonesia",-8.268617599999999,114.3250994,15,-,5,1,tourist_attraction|point_of_interest|establishment,-,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
48,Bukit Patrum,-,"Mojopereng, Jimbung Lor, Krakitan, Kec. Bayat, Kabupaten Klaten, Jawa Tengah 57451, Indonesia",-7.7489788,110.6172412,33,-,4.1,508,park|tourist_attraction|point_of_interest|establishment,0857-4321-6005,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
49,TPR Balong,-,"RPX2+4R4, Piji, Balong, Kec. Girisubo, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55883, Indonesia",-8.1522268,110.7020694,20,-,5,3,tourist_attraction|point_of_interest|establishment,-,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
50,Pantai Tebing Cluak'an,-,"RJMV+C8H, Pantai, Tepus, Kec. Tepus, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55881, Indonesia",-8.1664354,110.6433515,20,Monday: Open 24 hours|Tuesday: Open 24 hours|Wednesday: Open 24 hours|Thursday: Open 24 hours|Friday: Open 24 hours|Saturday: Open 24 hours|Sunday: Open 24 hours,4.3,68,tourist_attraction|point_of_interest|establishment,-,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
51,Wisata Goa Alam Watu Payung,-,"JPW3+5WF, Jl. Bogohan, Bogoan, Rakitan, Kec. Madukara, Kab. Banjarnegara, Jawa Tengah 53482, Indonesia",-7.354553699999999,109.7048019,28,-,4.5,39,tourist_attraction|point_of_interest|establishment,-,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
52,Tugu Kalpataru,-,"Jl. Jend. Sudirman No.26, Donoharjo, Wuryorejo, Kec. Wonogiri, Kabupaten Wonogiri, Jawa Tengah 57614, Indonesia",-7.831668899999999,110.9210255,32,-,4.3,69,museum|tourist_attraction|point_of_interest|establishment,-,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
53,Candi pandawa Lima dieng,-,"JVJX+J93, Tegalrejo, Jaraksari, Kec. Wonosobo, Kabupaten Wonosobo, Jawa Tengah 56312, Indonesia",-7.3684995,109.8984085,29,-,5,2,tourist_attraction|point_of_interest|establishment,-,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
54,West Flood Canal Bridge,-,"Jl. Simongan No.16a, Ngemplak Simongan, Kec. Semarang Barat, Kota Semarang, Jawa Tengah 50148, Indonesia",-6.9908851,110.4024871,4,Monday: Open 24 hours|Tuesday: Open 24 hours|Wednesday: Open 24 hours|Thursday: Open 24 hours|Friday: Open 24 hours|Saturday: Open 24 hours|Sunday: Open 24 hours,4.5,1848,tourist_attraction|point_of_interest|establishment,-,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
55,Post 2 JEEP Kalibiru Pearl Menoreh,-,"Jl. Pengasih - Sermo, Kedungtangkil, Sendangsari, Kec. Pengasih, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55652, Indonesia",-7.8308389,110.1321321,19,Monday: 7:00?AM?–?5:00?PM|Tuesday: 7:00?AM?–?5:00?PM|Wednesday: 7:00?AM?–?5:00?PM|Thursday: 7:00?AM?–?5:00?PM|Friday: 7:00?AM?–?5:00?PM|Saturday: 7:00?AM?–?5:00?PM|Sunday: 7:00?AM?–?5:00?PM,4.2,201,tourist_attraction|point_of_interest|establishment,0815-6848-6333,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
